timestamp;hash_rate;market_price_usd;Energy price Texas;Energy Price Dennmark;Energy Price Khazakstan ;Fees
01.02.2023 00:00;267991996.55;23133.91;;;;
01.02.2023 03:00;269948142.51;23207.42;;;;
01.02.2023 06:00;271904288.48;23280.94;;;;
01.02.2023 09:00;273860434.44;23354.45;;;;
01.02.2023 12:00;275816580.40;23427.97;;;;
01.02.2023 15:00;277772726.36;23501.48;;;;
01.02.2023 18:00;279728872.32;23574.99;;;;
01.02.2023 21:00;281685018.28;23648.51;;;;
02.02.2023 00:00;283641164.24;23722.02;;;;
02.02.2023 03:00;280706945.30;23688.57;;;;
02.02.2023 06:00;277772726.36;23655.12;;;;
02.02.2023 09:00;274838507.42;23621.67;;;;
02.02.2023 12:00;271904288.48;23588.22;;;;
02.02.2023 15:00;268970069.53;23554.76;;;;
02.02.2023 18:00;266035850.59;23521.31;;;;
02.02.2023 21:00;263101631.65;23487.86;;;;
03.02.2023 00:00;260167412.71;23454.41;;;;
03.02.2023 03:00;260900967.45;23452.62;;;;
03.02.2023 06:00;261634522.18;23450.83;;;;
03.02.2023 09:00;262368076.92;23449.04;;;;
03.02.2023 12:00;263101631.65;23447.25;;;;
03.02.2023 15:00;263835186.39;23445.46;;;;
03.02.2023 18:00;264568741.12;23443.67;;;;
03.02.2023 21:00;265302295.86;23441.88;;;;
04.02.2023 00:00;266035850.59;23440.09;;;;
04.02.2023 03:00;269948142.51;23426.11;;;;
04.02.2023 06:00;273860434.44;23412.13;;;;
04.02.2023 09:00;277772726.36;23398.15;;;;
04.02.2023 12:00;281685018.28;23384.17;;;;
04.02.2023 15:00;285597310.20;23370.18;;;;
04.02.2023 18:00;289509602.12;23356.20;;;;
04.02.2023 21:00;293421894.04;23342.22;;;;
05.02.2023 00:00;297334185.96;23328.24;;;;
05.02.2023 03:00;296356112.98;23279.33;;;;
05.02.2023 06:00;295378040.00;23230.42;;;;
05.02.2023 09:00;294399967.02;23181.51;;;;
05.02.2023 12:00;293421894.04;23132.60;;;;
05.02.2023 15:00;292443821.06;23083.68;;;;
05.02.2023 18:00;291465748.08;23034.77;;;;
05.02.2023 21:00;290487675.10;22985.86;;;;
06.02.2023 00:00;289509602.12;22936.95;;;;
06.02.2023 03:00;288042492.65;22915.30;;;;
06.02.2023 06:00;286575383.18;22893.65;;;;
06.02.2023 09:00;285108273.71;22872.00;;;;
06.02.2023 12:00;283641164.24;22850.35;;;;
06.02.2023 15:00;282174054.77;22828.69;;;;
06.02.2023 18:00;280706945.30;22807.04;;;;
06.02.2023 21:00;279239835.83;22785.39;;;;
07.02.2023 00:00;277772726.36;22763.74;;;;
07.02.2023 03:00;276794653.38;22825.12;;;;
07.02.2023 06:00;275816580.40;22886.50;;;;
07.02.2023 09:00;274838507.42;22947.88;;;;
07.02.2023 12:00;273860434.44;23009.26;;;;
07.02.2023 15:00;272882361.46;23070.65;;;;
07.02.2023 18:00;271904288.48;23132.03;;;;
07.02.2023 21:00;270926215.50;23193.41;;;;
08.02.2023 00:00;269948142.51;23254.79;;;;
08.02.2023 03:00;275816580.40;23218.55;;;;
08.02.2023 06:00;281685018.28;23182.31;;;;
08.02.2023 09:00;287553456.16;23146.07;;;;
08.02.2023 12:00;293421894.04;23109.83;;;;
08.02.2023 15:00;299290331.92;23073.59;;;;
08.02.2023 18:00;305158769.80;23037.35;;;;
08.02.2023 21:00;311027207.68;23001.11;;;;
09.02.2023 00:00;316895645.56;22964.87;;;;
09.02.2023 03:00;313227871.89;22818.52;;;;
09.02.2023 06:00;309560098.21;22672.17;;;;
09.02.2023 09:00;305892324.53;22525.81;;;;
09.02.2023 12:00;302224550.86;22379.46;;;;
09.02.2023 15:00;298556777.18;22233.11;;;;
09.02.2023 18:00;294889003.51;22086.75;;;;
09.02.2023 21:00;291221229.83;21940.40;;;;
10.02.2023 00:00;287553456.16;21794.05;;;;
10.02.2023 03:00;288042492.65;21774.61;;;;
10.02.2023 06:00;288531529.14;21755.17;;;;
10.02.2023 09:00;289020565.63;21735.74;;;;
10.02.2023 12:00;289509602.12;21716.30;;;;
10.02.2023 15:00;289998638.61;21696.86;;;;
10.02.2023 18:00;290487675.10;21677.42;;;;
10.02.2023 21:00;290976711.59;21657.99;;;;
11.02.2023 00:00;291465748.08;21638.55;;;;
11.02.2023 03:00;294275456.04;21666.46;;;;
11.02.2023 06:00;297085164.00;21694.37;;;;
11.02.2023 09:00;299894871.96;21722.28;;;;
11.02.2023 12:00;302704579.93;21750.19;;;;
11.02.2023 15:00;305514287.89;21778.11;;;;
11.02.2023 18:00;308323995.85;21806.02;;;;
11.02.2023 21:00;311133703.81;21833.93;;;;
12.02.2023 00:00;313943411.78;21861.84;;;;
12.02.2023 03:00;312656751.80;21852.52;;;;
12.02.2023 06:00;311370091.81;21843.19;;;;
12.02.2023 09:00;310083431.83;21833.87;;;;
12.02.2023 12:00;308796771.85;21824.54;;;;
12.02.2023 15:00;307510111.87;21815.22;;;;
12.02.2023 18:00;306223451.89;21805.90;;;;
12.02.2023 21:00;304936791.91;21796.57;;;;
13.02.2023 00:00;303650131.93;21787.25;;;;
13.02.2023 03:00;303163513.13;21787.34;;;;
13.02.2023 06:00;302676894.33;21787.44;;;;
13.02.2023 09:00;302190275.53;21787.53;;;;
13.02.2023 12:00;301703656.72;21787.62;;;;
13.02.2023 15:00;301217037.92;21787.71;;;;
13.02.2023 18:00;300730419.12;21787.81;;;;
13.02.2023 21:00;300243800.32;21787.90;;;;
14.02.2023 00:00;299757181.52;21787.99;;;;
14.02.2023 03:00;301946966.12;21840.97;;;;
14.02.2023 06:00;304136750.73;21893.94;;;;
14.02.2023 09:00;306326535.34;21946.92;;;;
14.02.2023 12:00;308516319.94;21999.90;;;;
14.02.2023 15:00;310706104.55;22052.87;;;;
14.02.2023 18:00;312895889.15;22105.85;;;;
14.02.2023 21:00;315085673.76;22158.82;;;;
15.02.2023 00:00;317275458.36;22211.80;;;;
15.02.2023 03:00;321168408.77;22477.92;;;;
15.02.2023 06:00;325061359.18;22744.03;;;;
15.02.2023 09:00;328954309.59;23010.15;;;;
15.02.2023 12:00;332847260.00;23276.26;;;;
15.02.2023 15:00;336740210.41;23542.38;;;;
15.02.2023 18:00;340633160.82;23808.50;;;;
15.02.2023 21:00;344526111.23;24074.61;;;;
16.02.2023 00:00;348419061.64;24340.73;;;;
16.02.2023 03:00;345012730.03;24241.22;;;;
16.02.2023 06:00;341606398.42;24141.72;;;;
16.02.2023 09:00;338200066.81;24042.21;;;;
16.02.2023 12:00;334793735.20;23942.70;;;;
16.02.2023 15:00;331387403.60;23843.19;;;;
16.02.2023 18:00;327981071.99;23743.68;;;;
16.02.2023 21:00;324574740.38;23644.18;;;;
17.02.2023 00:00;321168408.77;23544.67;;;;
17.02.2023 03:00;321898336.97;23673.21;;;;
17.02.2023 06:00;322628265.17;23801.74;;;;
17.02.2023 09:00;323358193.38;23930.28;;;;
17.02.2023 12:00;324088121.58;24058.82;;;;
17.02.2023 15:00;324818049.78;24187.36;;;;
17.02.2023 18:00;325547977.98;24315.90;;;;
17.02.2023 21:00;326277906.18;24444.43;;;;
18.02.2023 00:00;327007834.39;24572.97;;;;
18.02.2023 03:00;325547977.98;24581.59;;;;
18.02.2023 06:00;324088121.58;24590.21;;;;
18.02.2023 09:00;322628265.17;24598.83;;;;
18.02.2023 12:00;321168408.77;24607.46;;;;
18.02.2023 15:00;319708552.37;24616.08;;;;
18.02.2023 18:00;318248695.96;24624.70;;;;
18.02.2023 21:00;316788839.56;24633.32;;;;
19.02.2023 00:00;315328983.16;24641.94;;;;
19.02.2023 03:00;311679342.15;24597.97;;;;
19.02.2023 06:00;308029701.14;24554.00;;;;
19.02.2023 09:00;304380060.13;24510.03;;;;
19.02.2023 12:00;300730419.12;24466.06;;;;
19.02.2023 15:00;297080778.11;24422.09;;;;
19.02.2023 18:00;293431137.10;24378.12;;;;
19.02.2023 21:00;289781496.10;24334.15;;;;
20.02.2023 00:00;286131855.09;24290.18;;;;
20.02.2023 03:00;290998043.10;24358.26;;;;
20.02.2023 06:00;295864231.11;24426.34;;;;
20.02.2023 09:00;300730419.12;24494.42;;;;
20.02.2023 12:00;305596607.13;24562.50;;;;
20.02.2023 15:00;310462795.15;24630.57;;;;
20.02.2023 18:00;315328983.16;24698.65;;;;
20.02.2023 21:00;320195171.17;24766.73;;;;
21.02.2023 00:00;325061359.18;24834.81;;;;
21.02.2023 03:00;318492005.36;24785.22;;;;
21.02.2023 06:00;311922651.55;24735.63;;;;
21.02.2023 09:00;305353297.73;24686.04;;;;
21.02.2023 12:00;298783943.92;24636.46;;;;
21.02.2023 15:00;292214590.10;24586.87;;;;
21.02.2023 18:00;285645236.29;24537.28;;;;
21.02.2023 21:00;279075882.47;24487.69;;;;
22.02.2023 00:00;272506528.65;24438.10;;;;
22.02.2023 03:00;280049120.07;24406.55;;;;
22.02.2023 06:00;287591711.49;24374.99;;;;
22.02.2023 09:00;295134302.91;24343.44;;;;
22.02.2023 12:00;302676894.33;24311.88;;;;
22.02.2023 15:00;310219485.74;24280.33;;;;
22.02.2023 18:00;317762077.16;24248.78;;;;
22.02.2023 21:00;325304668.58;24217.22;;;;
23.02.2023 00:00;332847260.00;24185.67;;;;
23.02.2023 03:00;324088121.58;24155.76;;;;
23.02.2023 06:00;315328983.16;24125.85;;;;
23.02.2023 09:00;306569844.74;24095.94;;;;
23.02.2023 12:00;297810706.31;24066.03;;;;
23.02.2023 15:00;289051567.89;24036.12;;;;
23.02.2023 18:00;280292429.47;24006.21;;;;
23.02.2023 21:00;271533291.05;23976.30;;;;
24.02.2023 00:00;262774152.63;23946.39;;;;
24.02.2023 03:00;258407494.77;23852.09;;;;
24.02.2023 06:00;254040836.92;23757.80;;;;
24.02.2023 09:00;249674179.06;23663.50;;;;
24.02.2023 12:00;245307521.20;23569.21;;;;
24.02.2023 15:00;240940863.35;23474.91;;;;
24.02.2023 18:00;236574205.49;23380.61;;;;
24.02.2023 21:00;232207547.64;23286.32;;;;
25.02.2023 00:00;227840889.78;23192.02;;;;
25.02.2023 03:00;244305360.83;23190.11;;;;
25.02.2023 06:00;260769831.88;23188.21;;;;
25.02.2023 09:00;277234302.93;23186.30;;;;
25.02.2023 12:00;293698773.98;23184.39;;;;
