price,H_tot,pool_hash,total_hash,pct_active,pct_pool,price_regime,network_hash_regime,txfee_regime
200000,800000000.0,300000000.0,0.0,0.0,0.0,High,High,High
200000,800000000.0,300000000.0,1416.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,1998.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,3892.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,2620.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1422.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,4074.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,5724.0,0.015,0.015,High,High,High
200000,800000000.0,300000000.0,4140.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,1930.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,3220.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,1806.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,4845.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,2214.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1304.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,1390.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1692.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,6553.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,4080.0,0.015,0.0125,High,High,High
200000,800000000.0,300000000.0,2284.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,2702.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,9540.0,0.02,0.02,High,High,High
200000,800000000.0,300000000.0,5289.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,5096.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,5040.0,0.015,0.015,High,High,High
200000,800000000.0,300000000.0,3214.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,1154.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,2084.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,6790.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,1088.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,1416.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,2355.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,4412.0,0.015,0.015,High,High,High
200000,800000000.0,300000000.0,3608.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,3105.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1355.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,2943.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,2105.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,550.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,1460.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,1275.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,2661.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,6150.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,2642.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,0.0,0.0,0.0,High,High,High
200000,800000000.0,300000000.0,1264.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,3450.0,0.01,0.0075,High,High,High
200000,800000000.0,300000000.0,8283.0,0.02,0.02,High,High,High
200000,800000000.0,300000000.0,1280.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,3218.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,4036.0,0.015,0.0125,High,High,High
200000,800000000.0,300000000.0,2662.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,3605.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1738.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,2352.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,4737.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,435.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,7892.0,0.0125,0.01,High,High,High
200000,800000000.0,300000000.0,3400.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,600.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,3570.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,998.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,4903.0,0.015,0.015,High,High,High
200000,800000000.0,300000000.0,3410.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1522.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1825.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,632.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,3636.0,0.0125,0.01,High,High,High
200000,800000000.0,300000000.0,2074.0,0.0075,0.005,High,High,High
200000,800000000.0,300000000.0,7899.0,0.0175,0.0175,High,High,High
200000,800000000.0,300000000.0,4713.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1317.0,0.0075,0.005,High,High,High
200000,800000000.0,300000000.0,4750.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,1131.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,5556.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,2040.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,3888.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,910.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,9676.0,0.015,0.015,High,High,High
200000,800000000.0,300000000.0,1192.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,3804.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1600.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,2098.0,0.01,0.0075,High,High,High
200000,800000000.0,300000000.0,7237.0,0.02,0.02,High,High,High
200000,800000000.0,300000000.0,816.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,3040.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,3478.0,0.015,0.015,High,High,High
200000,800000000.0,300000000.0,790.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,1940.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,3546.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,3966.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,4787.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,3537.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1530.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,2040.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,4561.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,1960.0,0.005,0.0025,High,High,High
200000,800000000.0,300000000.0,1895.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,6970.0,0.015,0.0125,High,High,High
200000,800000000.0,300000000.0,1869.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,3773.0,0.015,0.015,High,High,High
200000,800000000.0,300000000.0,10097.0,0.0225,0.0225,High,High,High
200000,800000000.0,300000000.0,3108.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,3560.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,5787.0,0.015,0.0125,High,High,High
200000,800000000.0,300000000.0,0.0,0.0,0.0,High,High,High
200000,800000000.0,300000000.0,4502.0,0.015,0.015,High,High,High
200000,800000000.0,300000000.0,3727.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,3040.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,3877.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,1788.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,1530.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,0.0,0.0,0.0,High,High,High
200000,800000000.0,300000000.0,6418.0,0.0125,0.01,High,High,High
200000,800000000.0,300000000.0,3391.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,0.0,0.0,0.0,High,High,High
200000,800000000.0,300000000.0,4305.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,5292.0,0.0125,0.01,High,High,High
200000,800000000.0,300000000.0,4188.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,1932.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,3335.0,0.0075,0.005,High,High,High
200000,800000000.0,300000000.0,2650.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,610.0,0.0025,0.0,High,High,High
200000,800000000.0,300000000.0,2701.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,0.0,0.0,0.0,High,High,High
200000,800000000.0,300000000.0,4810.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,2800.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,2266.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,4355.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,4077.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,610.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,4961.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,747.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,2322.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1422.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,3617.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,2041.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,0.0,0.0,0.0,High,High,High
200000,800000000.0,300000000.0,4590.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,3709.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1860.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,2380.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,4265.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,2720.0,0.0125,0.01,High,High,High
200000,800000000.0,300000000.0,7186.0,0.0225,0.0225,High,High,High
200000,800000000.0,300000000.0,4105.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1594.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,3573.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,4417.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,1679.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,1318.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,3060.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,1750.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,2552.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,3229.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,100.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,4370.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,3128.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,2876.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,5470.0,0.01,0.0075,High,High,High
200000,800000000.0,300000000.0,2610.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,2350.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,1199.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,2085.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,4332.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,3611.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,3708.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,1005.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,145.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,7394.0,0.0175,0.0125,High,High,High
200000,800000000.0,300000000.0,3075.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,3067.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,2244.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,1090.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,1200.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,3804.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,1200.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,6652.0,0.015,0.015,High,High,High
200000,800000000.0,300000000.0,1160.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,5751.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,4789.0,0.01,0.0075,High,High,High
200000,800000000.0,300000000.0,5029.0,0.0175,0.0175,High,High,High
200000,800000000.0,300000000.0,9766.0,0.0175,0.015,High,High,High
200000,800000000.0,300000000.0,1537.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,4439.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,6053.0,0.015,0.015,High,High,High
200000,800000000.0,300000000.0,3549.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,2395.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,2158.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,3714.0,0.01,0.0075,High,High,High
200000,800000000.0,300000000.0,3995.0,0.01,0.0075,High,High,High
200000,800000000.0,300000000.0,2168.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,5056.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,1010.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,1935.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1112.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,990.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,990.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,2430.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,6461.0,0.0175,0.0175,High,High,High
200000,800000000.0,300000000.0,837.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,2975.0,0.01,0.0075,High,High,High
200000,800000000.0,300000000.0,3464.0,0.015,0.0125,High,High,High
200000,800000000.0,300000000.0,6842.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,3282.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,2896.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,2485.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,3510.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,4551.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,5509.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,3706.0,0.0175,0.0175,High,High,High
200000,800000000.0,300000000.0,3465.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,2114.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1231.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,3170.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,4986.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,2984.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,758.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,2520.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,474.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,7164.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,3069.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,2438.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,3665.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,2105.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,6270.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,8832.0,0.0175,0.0175,High,High,High
200000,800000000.0,300000000.0,7053.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,3495.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,7892.0,0.0175,0.0175,High,High,High
200000,800000000.0,300000000.0,1538.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,3774.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,1530.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,700.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,1875.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,2812.0,0.01,0.0075,High,High,High
200000,800000000.0,300000000.0,1968.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,1035.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,1280.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,3568.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,6584.0,0.02,0.0175,High,High,High
200000,800000000.0,300000000.0,2040.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,1460.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,3400.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,244.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,5020.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,6886.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,760.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,725.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,200.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,290.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,3500.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,2359.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,3908.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,2906.0,0.0125,0.0125,High,High,High
200000,800000000.0,300000000.0,5942.0,0.0125,0.0075,High,High,High
200000,800000000.0,300000000.0,2804.0,0.01,0.0075,High,High,High
200000,800000000.0,300000000.0,2222.0,0.0075,0.005,High,High,High
200000,800000000.0,300000000.0,2410.0,0.0075,0.0075,High,High,High
200000,800000000.0,300000000.0,4315.0,0.01,0.01,High,High,High
200000,800000000.0,300000000.0,1356.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,7605.0,0.02,0.02,High,High,High
200000,800000000.0,300000000.0,2110.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,290.0,0.0025,0.0025,High,High,High
200000,800000000.0,300000000.0,1900.0,0.005,0.005,High,High,High
200000,800000000.0,300000000.0,3112.0,0.0075,0.0075,High,High,High
