price,H_tot,pool_hash,total_hash,pct_active,pct_pool,price_regime,network_hash_regime,txfee_regime
200000,800000000.0,300000000.0,5504.0,0.0175,0.015,High,High,Med
200000,800000000.0,300000000.0,3946.0,0.015,0.015,High,High,Med
200000,800000000.0,300000000.0,6306.0,0.0125,0.0125,High,High,Med
200000,800000000.0,300000000.0,4277.0,0.0125,0.0125,High,High,Med
200000,800000000.0,300000000.0,1015.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,4147.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,4096.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,5797.0,0.0125,0.01,High,High,Med
200000,800000000.0,300000000.0,408.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,300.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,0.0,0.0,0.0,High,High,Med
200000,800000000.0,300000000.0,3336.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,3744.0,0.0125,0.0125,High,High,Med
200000,800000000.0,300000000.0,2287.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,7303.0,0.015,0.015,High,High,Med
200000,800000000.0,300000000.0,3370.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,3614.0,0.015,0.015,High,High,Med
200000,800000000.0,300000000.0,877.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,1892.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,3299.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,580.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,4173.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,3424.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,860.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,255.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,9560.0,0.0175,0.015,High,High,Med
200000,800000000.0,300000000.0,1542.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,580.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,3256.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,2592.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,770.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,1992.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,3345.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,177.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,3115.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,1996.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,2303.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,3875.0,0.0125,0.0125,High,High,Med
200000,800000000.0,300000000.0,4550.0,0.015,0.015,High,High,Med
200000,800000000.0,300000000.0,2940.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,2107.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,3455.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,500.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,2500.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,0.0,0.0,0.0,High,High,Med
200000,800000000.0,300000000.0,2124.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,7339.0,0.015,0.015,High,High,Med
200000,800000000.0,300000000.0,5695.0,0.015,0.015,High,High,Med
200000,800000000.0,300000000.0,900.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,6186.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,1691.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,3505.0,0.0125,0.0125,High,High,Med
200000,800000000.0,300000000.0,3202.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,0.0,0.0,0.0,High,High,Med
200000,800000000.0,300000000.0,4642.0,0.015,0.015,High,High,Med
200000,800000000.0,300000000.0,3275.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,766.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,244.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,1052.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,799.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,800.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,2242.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,816.0,0.0025,0.0,High,High,Med
200000,800000000.0,300000000.0,6321.0,0.0175,0.0175,High,High,Med
200000,800000000.0,300000000.0,948.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,366.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,3975.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,2050.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,5250.0,0.0125,0.0125,High,High,Med
200000,800000000.0,300000000.0,3259.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,7554.0,0.015,0.015,High,High,Med
200000,800000000.0,300000000.0,3370.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,4602.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,2247.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,1675.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,0.0,0.0,0.0,High,High,Med
200000,800000000.0,300000000.0,4236.0,0.0125,0.0125,High,High,Med
200000,800000000.0,300000000.0,4254.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,1252.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,4597.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,6465.0,0.0225,0.0225,High,High,Med
200000,800000000.0,300000000.0,2862.0,0.005,0.0025,High,High,Med
200000,800000000.0,300000000.0,1530.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,4626.0,0.0125,0.0125,High,High,Med
200000,800000000.0,300000000.0,0.0,0.0,0.0,High,High,Med
200000,800000000.0,300000000.0,5200.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,3858.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,3420.0,0.0125,0.0125,High,High,Med
200000,800000000.0,300000000.0,3130.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,1655.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,3550.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,3750.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,4625.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,4145.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,3418.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,4664.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,1875.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,1200.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,4195.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,1899.0,0.005,0.0025,High,High,Med
200000,800000000.0,300000000.0,5245.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,810.0,0.005,0.005,High,High,Med
200000,800000000.0,300000000.0,3669.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,6789.0,0.015,0.015,High,High,Med
200000,800000000.0,300000000.0,3774.0,0.0075,0.0075,High,High,Med
200000,800000000.0,300000000.0,6335.0,0.0125,0.0125,High,High,Med
200000,800000000.0,300000000.0,3856.0,0.01,0.01,High,High,Med
200000,800000000.0,300000000.0,3338.0,0.0125,0.0125,High,High,Med
200000,800000000.0,300000000.0,0.0,0.0,0.0,High,High,Med
200000,800000000.0,300000000.0,4233.0,0.0125,0.0125,High,High,Med
200000,800000000.0,300000000.0,11017.0,0.02,0.02,High,High,Med
200000,800000000.0,300000000.0,1098.0,0.0025,0.0025,High,High,Med
200000,800000000.0,300000000.0,2094.0,0.005,0.005,High,High,Med
