price,H_tot,pool_hash,total_hash,pct_active,pct_pool,price_regime,network_hash_regime,txfee_regime
200000,200000000.0,300000000.0,33561.0,0.0775,0.0775,High,Low,Low
200000,200000000.0,300000000.0,52025.0,0.1075,0.105,High,Low,Low
200000,200000000.0,300000000.0,23830.0,0.065,0.065,High,Low,Low
200000,200000000.0,300000000.0,41923.0,0.0975,0.095,High,Low,Low
200000,200000000.0,300000000.0,29987.0,0.0775,0.075,High,Low,Low
200000,200000000.0,300000000.0,36161.0,0.1075,0.105,High,Low,Low
200000,200000000.0,300000000.0,34652.0,0.09,0.09,High,Low,Low
200000,200000000.0,300000000.0,34583.0,0.105,0.1025,High,Low,Low
200000,200000000.0,300000000.0,26763.0,0.065,0.065,High,Low,Low
200000,200000000.0,300000000.0,33645.0,0.085,0.085,High,Low,Low
200000,200000000.0,300000000.0,41662.0,0.0975,0.095,High,Low,Low
200000,200000000.0,300000000.0,33205.0,0.0925,0.09,High,Low,Low
200000,200000000.0,300000000.0,24208.0,0.07,0.07,High,Low,Low
200000,200000000.0,300000000.0,39670.0,0.0975,0.0875,High,Low,Low
200000,200000000.0,300000000.0,36404.0,0.0875,0.085,High,Low,Low
200000,200000000.0,300000000.0,42471.0,0.11,0.105,High,Low,Low
200000,200000000.0,300000000.0,24130.0,0.065,0.065,High,Low,Low
200000,200000000.0,300000000.0,42247.0,0.11,0.11,High,Low,Low
200000,200000000.0,300000000.0,19157.0,0.0775,0.075,High,Low,Low
200000,200000000.0,300000000.0,27680.0,0.0775,0.0775,High,Low,Low
200000,200000000.0,300000000.0,46342.0,0.095,0.095,High,Low,Low
200000,200000000.0,300000000.0,47660.0,0.0975,0.095,High,Low,Low
200000,200000000.0,300000000.0,37073.0,0.08,0.0775,High,Low,Low
200000,200000000.0,300000000.0,33233.0,0.09,0.09,High,Low,Low
200000,200000000.0,300000000.0,23608.0,0.075,0.075,High,Low,Low
200000,200000000.0,300000000.0,24660.0,0.0675,0.065,High,Low,Low
200000,200000000.0,300000000.0,29337.0,0.0875,0.085,High,Low,Low
200000,200000000.0,300000000.0,36197.0,0.09,0.09,High,Low,Low
200000,200000000.0,300000000.0,36066.0,0.0925,0.09,High,Low,Low
200000,200000000.0,300000000.0,26891.0,0.0725,0.07,High,Low,Low
200000,200000000.0,300000000.0,32393.0,0.0725,0.0725,High,Low,Low
200000,200000000.0,300000000.0,30783.0,0.0925,0.0925,High,Low,Low
200000,200000000.0,300000000.0,29568.0,0.0825,0.08,High,Low,Low
200000,200000000.0,300000000.0,29898.0,0.0825,0.0725,High,Low,Low
200000,200000000.0,300000000.0,30907.0,0.0775,0.0725,High,Low,Low
200000,200000000.0,300000000.0,32154.0,0.09,0.085,High,Low,Low
200000,200000000.0,300000000.0,23810.0,0.075,0.07,High,Low,Low
200000,200000000.0,300000000.0,42426.0,0.1125,0.1025,High,Low,Low
200000,200000000.0,300000000.0,36073.0,0.1,0.095,High,Low,Low
200000,200000000.0,300000000.0,33689.0,0.0875,0.0875,High,Low,Low
200000,200000000.0,300000000.0,50323.0,0.115,0.1075,High,Low,Low
200000,200000000.0,300000000.0,26339.0,0.0825,0.08,High,Low,Low
200000,200000000.0,300000000.0,35707.0,0.09,0.09,High,Low,Low
200000,200000000.0,300000000.0,36365.0,0.0875,0.0875,High,Low,Low
200000,200000000.0,300000000.0,28100.0,0.09,0.09,High,Low,Low
200000,200000000.0,300000000.0,39353.0,0.105,0.105,High,Low,Low
200000,200000000.0,300000000.0,21050.0,0.075,0.07,High,Low,Low
200000,200000000.0,300000000.0,38316.0,0.1025,0.0975,High,Low,Low
200000,200000000.0,300000000.0,32980.0,0.09,0.09,High,Low,Low
200000,200000000.0,300000000.0,37965.0,0.0925,0.0925,High,Low,Low
200000,200000000.0,300000000.0,33056.0,0.095,0.0875,High,Low,Low
200000,200000000.0,300000000.0,35879.0,0.0925,0.0925,High,Low,Low
200000,200000000.0,300000000.0,41195.0,0.11,0.11,High,Low,Low
200000,200000000.0,300000000.0,37873.0,0.095,0.095,High,Low,Low
200000,200000000.0,300000000.0,26131.0,0.07,0.0675,High,Low,Low
200000,200000000.0,300000000.0,35931.0,0.0825,0.0825,High,Low,Low
200000,200000000.0,300000000.0,32645.0,0.08,0.075,High,Low,Low
200000,200000000.0,300000000.0,34671.0,0.095,0.09,High,Low,Low
200000,200000000.0,300000000.0,45399.0,0.115,0.1125,High,Low,Low
200000,200000000.0,300000000.0,31465.0,0.09,0.085,High,Low,Low
200000,200000000.0,300000000.0,28226.0,0.0775,0.0775,High,Low,Low
200000,200000000.0,300000000.0,32374.0,0.0975,0.0925,High,Low,Low
200000,200000000.0,300000000.0,18220.0,0.0425,0.0425,High,Low,Low
200000,200000000.0,300000000.0,32630.0,0.095,0.0925,High,Low,Low
200000,200000000.0,300000000.0,35405.0,0.0925,0.0875,High,Low,Low
200000,200000000.0,300000000.0,29932.0,0.1025,0.0975,High,Low,Low
