price,H_tot,pool_hash,total_hash,pct_active,pct_pool,price_regime,network_hash_regime,txfee_regime
200000,200000000.0,300000000.0,44758.0,0.1025,0.1,High,Low,Med
200000,200000000.0,300000000.0,31477.0,0.0875,0.085,High,Low,Med
200000,200000000.0,300000000.0,40434.0,0.105,0.1025,High,Low,Med
200000,200000000.0,300000000.0,37813.0,0.0925,0.09,High,Low,Med
200000,200000000.0,300000000.0,27833.0,0.085,0.08,High,Low,Med
200000,200000000.0,300000000.0,46236.0,0.1075,0.105,High,Low,Med
200000,200000000.0,300000000.0,35376.0,0.085,0.085,High,Low,Med
200000,200000000.0,300000000.0,30077.0,0.0825,0.0825,High,Low,Med
200000,200000000.0,300000000.0,26854.0,0.0775,0.0775,High,Low,Med
200000,200000000.0,300000000.0,55403.0,0.1325,0.1325,High,Low,Med
200000,200000000.0,300000000.0,33435.0,0.0875,0.0825,High,Low,Med
200000,200000000.0,300000000.0,32431.0,0.085,0.0825,High,Low,Med
200000,200000000.0,300000000.0,32970.0,0.0825,0.0825,High,Low,Med
200000,200000000.0,300000000.0,42126.0,0.105,0.1025,High,Low,Med
200000,200000000.0,300000000.0,31314.0,0.075,0.0675,High,Low,Med
200000,200000000.0,300000000.0,31519.0,0.0975,0.095,High,Low,Med
200000,200000000.0,300000000.0,40882.0,0.0825,0.0825,High,Low,Med
200000,200000000.0,300000000.0,42341.0,0.1075,0.095,High,Low,Med
200000,200000000.0,300000000.0,42896.0,0.1,0.1,High,Low,Med
200000,200000000.0,300000000.0,37662.0,0.0925,0.0875,High,Low,Med
200000,200000000.0,300000000.0,44035.0,0.11,0.11,High,Low,Med
200000,200000000.0,300000000.0,35245.0,0.0875,0.0875,High,Low,Med
200000,200000000.0,300000000.0,38772.0,0.08,0.0775,High,Low,Med
200000,200000000.0,300000000.0,44901.0,0.1025,0.1,High,Low,Med
200000,200000000.0,300000000.0,43454.0,0.1025,0.1,High,Low,Med
200000,200000000.0,300000000.0,41688.0,0.0925,0.0925,High,Low,Med
200000,200000000.0,300000000.0,49491.0,0.12,0.12,High,Low,Med
200000,200000000.0,300000000.0,28989.0,0.08,0.075,High,Low,Med
200000,200000000.0,300000000.0,39289.0,0.0875,0.0875,High,Low,Med
200000,200000000.0,300000000.0,38921.0,0.09,0.09,High,Low,Med
200000,200000000.0,300000000.0,39014.0,0.1,0.0975,High,Low,Med
200000,200000000.0,300000000.0,23209.0,0.0625,0.0575,High,Low,Med
200000,200000000.0,300000000.0,42595.0,0.1,0.1,High,Low,Med
200000,200000000.0,300000000.0,33811.0,0.08,0.08,High,Low,Med
200000,200000000.0,300000000.0,39677.0,0.105,0.1025,High,Low,Med
200000,200000000.0,300000000.0,28194.0,0.075,0.075,High,Low,Med
200000,200000000.0,300000000.0,35015.0,0.0775,0.0775,High,Low,Med
200000,200000000.0,300000000.0,55692.0,0.13,0.1225,High,Low,Med
200000,200000000.0,300000000.0,39532.0,0.1175,0.1125,High,Low,Med
200000,200000000.0,300000000.0,28721.0,0.0775,0.075,High,Low,Med
