price,H_tot,pool_hash,total_hash,pct_active,pct_pool,price_regime,network_hash_regime,txfee_regime
200000,400000000.0,300000000.0,25774.0,0.065,0.065,High,Med,High
200000,400000000.0,300000000.0,23782.0,0.0675,0.0675,High,Med,High
200000,400000000.0,300000000.0,23541.0,0.07,0.0675,High,Med,High
200000,400000000.0,300000000.0,30482.0,0.08,0.0775,High,Med,High
200000,400000000.0,300000000.0,24205.0,0.0675,0.065,High,Med,High
200000,400000000.0,300000000.0,32876.0,0.0875,0.085,High,Med,High
200000,400000000.0,300000000.0,16498.0,0.0425,0.0425,High,Med,High
200000,400000000.0,300000000.0,25008.0,0.0625,0.0575,High,Med,High
200000,400000000.0,300000000.0,27141.0,0.08,0.0775,High,Med,High
200000,400000000.0,300000000.0,24470.0,0.06,0.06,High,Med,High
200000,400000000.0,300000000.0,31476.0,0.085,0.085,High,Med,High
200000,400000000.0,300000000.0,35968.0,0.0925,0.0925,High,Med,High
200000,400000000.0,300000000.0,18550.0,0.06,0.0575,High,Med,High
200000,400000000.0,300000000.0,28243.0,0.07,0.065,High,Med,High
200000,400000000.0,300000000.0,20089.0,0.0575,0.0575,High,Med,High
200000,400000000.0,300000000.0,26891.0,0.0675,0.065,High,Med,High
200000,400000000.0,300000000.0,23067.0,0.07,0.07,High,Med,High
200000,400000000.0,300000000.0,25579.0,0.055,0.055,High,Med,High
200000,400000000.0,300000000.0,21061.0,0.065,0.0625,High,Med,High
200000,400000000.0,300000000.0,27402.0,0.0725,0.0725,High,Med,High
200000,400000000.0,300000000.0,34897.0,0.095,0.0875,High,Med,High
200000,400000000.0,300000000.0,19617.0,0.0625,0.06,High,Med,High
200000,400000000.0,300000000.0,29795.0,0.0825,0.0825,High,Med,High
200000,400000000.0,300000000.0,34089.0,0.095,0.0925,High,Med,High
200000,400000000.0,300000000.0,23633.0,0.07,0.06,High,Med,High
200000,400000000.0,300000000.0,32631.0,0.0825,0.0825,High,Med,High
200000,400000000.0,300000000.0,36728.0,0.085,0.0825,High,Med,High
200000,400000000.0,300000000.0,30184.0,0.07,0.07,High,Med,High
200000,400000000.0,300000000.0,33076.0,0.105,0.1,High,Med,High
200000,400000000.0,300000000.0,24688.0,0.0775,0.0775,High,Med,High
200000,400000000.0,300000000.0,31470.0,0.0775,0.075,High,Med,High
200000,400000000.0,300000000.0,30521.0,0.0825,0.08,High,Med,High
200000,400000000.0,300000000.0,25790.0,0.0725,0.0725,High,Med,High
200000,400000000.0,300000000.0,27305.0,0.085,0.085,High,Med,High
200000,400000000.0,300000000.0,33134.0,0.0925,0.0875,High,Med,High
200000,400000000.0,300000000.0,27672.0,0.0675,0.065,High,Med,High
200000,400000000.0,300000000.0,20434.0,0.0525,0.0525,High,Med,High
200000,400000000.0,300000000.0,37945.0,0.095,0.09,High,Med,High
200000,400000000.0,300000000.0,28977.0,0.08,0.075,High,Med,High
200000,400000000.0,300000000.0,28802.0,0.075,0.075,High,Med,High
200000,400000000.0,300000000.0,24655.0,0.06,0.06,High,Med,High
200000,400000000.0,300000000.0,30497.0,0.0775,0.07,High,Med,High
200000,400000000.0,300000000.0,25901.0,0.0775,0.075,High,Med,High
200000,400000000.0,300000000.0,30488.0,0.08,0.08,High,Med,High
200000,400000000.0,300000000.0,37702.0,0.1025,0.1,High,Med,High
200000,400000000.0,300000000.0,18107.0,0.06,0.0575,High,Med,High
200000,400000000.0,300000000.0,26937.0,0.07,0.07,High,Med,High
200000,400000000.0,300000000.0,22179.0,0.0675,0.065,High,Med,High
200000,400000000.0,300000000.0,38760.0,0.085,0.085,High,Med,High
200000,400000000.0,300000000.0,36770.0,0.0925,0.09,High,Med,High
200000,400000000.0,300000000.0,30131.0,0.0725,0.0725,High,Med,High
200000,400000000.0,300000000.0,31521.0,0.0725,0.0675,High,Med,High
200000,400000000.0,300000000.0,43846.0,0.095,0.0925,High,Med,High
200000,400000000.0,300000000.0,32218.0,0.0875,0.0875,High,Med,High
200000,400000000.0,300000000.0,31844.0,0.075,0.0675,High,Med,High
200000,400000000.0,300000000.0,30791.0,0.075,0.0725,High,Med,High
200000,400000000.0,300000000.0,31348.0,0.09,0.09,High,Med,High
200000,400000000.0,300000000.0,21982.0,0.06,0.06,High,Med,High
200000,400000000.0,300000000.0,18174.0,0.06,0.0575,High,Med,High
200000,400000000.0,300000000.0,27871.0,0.065,0.065,High,Med,High
200000,400000000.0,300000000.0,30969.0,0.065,0.0625,High,Med,High
200000,400000000.0,300000000.0,21060.0,0.055,0.0525,High,Med,High
200000,400000000.0,300000000.0,29069.0,0.0825,0.08,High,Med,High
200000,400000000.0,300000000.0,21993.0,0.055,0.0525,High,Med,High
200000,400000000.0,300000000.0,34824.0,0.09,0.0875,High,Med,High
200000,400000000.0,300000000.0,31106.0,0.08,0.075,High,Med,High
200000,400000000.0,300000000.0,26597.0,0.0725,0.0725,High,Med,High
200000,400000000.0,300000000.0,36330.0,0.09,0.09,High,Med,High
200000,400000000.0,300000000.0,27734.0,0.0775,0.0775,High,Med,High
200000,400000000.0,300000000.0,35087.0,0.0875,0.085,High,Med,High
200000,400000000.0,300000000.0,18708.0,0.0525,0.0525,High,Med,High
200000,400000000.0,300000000.0,33410.0,0.085,0.0825,High,Med,High
200000,400000000.0,300000000.0,22457.0,0.0675,0.0625,High,Med,High
200000,400000000.0,300000000.0,20071.0,0.075,0.07,High,Med,High
200000,400000000.0,300000000.0,23799.0,0.065,0.065,High,Med,High
200000,400000000.0,300000000.0,43906.0,0.095,0.09,High,Med,High
200000,400000000.0,300000000.0,24792.0,0.0725,0.0675,High,Med,High
200000,400000000.0,300000000.0,25242.0,0.06,0.0575,High,Med,High
200000,400000000.0,300000000.0,24739.0,0.07,0.07,High,Med,High
200000,400000000.0,300000000.0,29353.0,0.0725,0.07,High,Med,High
200000,400000000.0,300000000.0,33153.0,0.08,0.0775,High,Med,High
200000,400000000.0,300000000.0,15405.0,0.0475,0.0475,High,Med,High
200000,400000000.0,300000000.0,25346.0,0.0675,0.0675,High,Med,High
200000,400000000.0,300000000.0,35141.0,0.0975,0.0975,High,Med,High
200000,400000000.0,300000000.0,32394.0,0.085,0.085,High,Med,High
200000,400000000.0,300000000.0,28552.0,0.0725,0.07,High,Med,High
200000,400000000.0,300000000.0,28423.0,0.07,0.065,High,Med,High
200000,400000000.0,300000000.0,29380.0,0.0825,0.08,High,Med,High
200000,400000000.0,300000000.0,30782.0,0.0975,0.0975,High,Med,High
200000,400000000.0,300000000.0,21103.0,0.065,0.065,High,Med,High
200000,400000000.0,300000000.0,36363.0,0.08,0.08,High,Med,High
200000,400000000.0,300000000.0,30349.0,0.0825,0.08,High,Med,High
200000,400000000.0,300000000.0,22477.0,0.0575,0.055,High,Med,High
200000,400000000.0,300000000.0,42551.0,0.1025,0.095,High,Med,High
200000,400000000.0,300000000.0,24969.0,0.0725,0.07,High,Med,High
200000,400000000.0,300000000.0,29960.0,0.08,0.0775,High,Med,High
200000,400000000.0,300000000.0,32696.0,0.075,0.0675,High,Med,High
200000,400000000.0,300000000.0,19436.0,0.055,0.05,High,Med,High
200000,400000000.0,300000000.0,24809.0,0.0675,0.0675,High,Med,High
200000,400000000.0,300000000.0,30120.0,0.075,0.075,High,Med,High
200000,400000000.0,300000000.0,24480.0,0.0775,0.075,High,Med,High
200000,400000000.0,300000000.0,35756.0,0.085,0.0825,High,Med,High
200000,400000000.0,300000000.0,29177.0,0.0775,0.075,High,Med,High
200000,400000000.0,300000000.0,39948.0,0.0975,0.0975,High,Med,High
200000,400000000.0,300000000.0,30926.0,0.0825,0.08,High,Med,High
200000,400000000.0,300000000.0,12343.0,0.0475,0.0475,High,Med,High
200000,400000000.0,300000000.0,20478.0,0.055,0.0525,High,Med,High
200000,400000000.0,300000000.0,34770.0,0.075,0.075,High,Med,High
200000,400000000.0,300000000.0,33756.0,0.08,0.07,High,Med,High
200000,400000000.0,300000000.0,36044.0,0.0825,0.0725,High,Med,High
200000,400000000.0,300000000.0,19363.0,0.06,0.0575,High,Med,High
200000,400000000.0,300000000.0,29408.0,0.0875,0.0825,High,Med,High
200000,400000000.0,300000000.0,37062.0,0.1025,0.1,High,Med,High
200000,400000000.0,300000000.0,33576.0,0.1025,0.1,High,Med,High
200000,400000000.0,300000000.0,25290.0,0.0675,0.065,High,Med,High
200000,400000000.0,300000000.0,31458.0,0.09,0.0875,High,Med,High
200000,400000000.0,300000000.0,12447.0,0.05,0.05,High,Med,High
200000,400000000.0,300000000.0,21040.0,0.0575,0.0575,High,Med,High
200000,400000000.0,300000000.0,35681.0,0.095,0.0875,High,Med,High
200000,400000000.0,300000000.0,22224.0,0.065,0.065,High,Med,High
200000,400000000.0,300000000.0,28219.0,0.0675,0.0625,High,Med,High
200000,400000000.0,300000000.0,32698.0,0.0825,0.0775,High,Med,High
200000,400000000.0,300000000.0,36902.0,0.095,0.095,High,Med,High
200000,400000000.0,300000000.0,34511.0,0.0825,0.0825,High,Med,High
200000,400000000.0,300000000.0,32212.0,0.0775,0.0775,High,Med,High
200000,400000000.0,300000000.0,28396.0,0.0725,0.07,High,Med,High
200000,400000000.0,300000000.0,33041.0,0.0825,0.08,High,Med,High
200000,400000000.0,300000000.0,38732.0,0.09,0.0875,High,Med,High
200000,400000000.0,300000000.0,31632.0,0.07,0.0675,High,Med,High
200000,400000000.0,300000000.0,33164.0,0.08,0.0775,High,Med,High
200000,400000000.0,300000000.0,29572.0,0.085,0.0825,High,Med,High
200000,400000000.0,300000000.0,27894.0,0.0625,0.0575,High,Med,High
200000,400000000.0,300000000.0,26597.0,0.06,0.06,High,Med,High
200000,400000000.0,300000000.0,26932.0,0.065,0.06,High,Med,High
200000,400000000.0,300000000.0,31437.0,0.085,0.0825,High,Med,High
200000,400000000.0,300000000.0,28010.0,0.0775,0.075,High,Med,High
200000,400000000.0,300000000.0,35138.0,0.0875,0.0825,High,Med,High
200000,400000000.0,300000000.0,36660.0,0.1,0.1,High,Med,High
200000,400000000.0,300000000.0,30676.0,0.0825,0.08,High,Med,High
200000,400000000.0,300000000.0,32098.0,0.09,0.09,High,Med,High
200000,400000000.0,300000000.0,31244.0,0.0725,0.0675,High,Med,High
200000,400000000.0,300000000.0,34243.0,0.09,0.0875,High,Med,High
200000,400000000.0,300000000.0,29764.0,0.075,0.0725,High,Med,High
200000,400000000.0,300000000.0,26311.0,0.0725,0.0725,High,Med,High
200000,400000000.0,300000000.0,31265.0,0.085,0.085,High,Med,High
200000,400000000.0,300000000.0,22855.0,0.0675,0.065,High,Med,High
200000,400000000.0,300000000.0,25351.0,0.07,0.065,High,Med,High
200000,400000000.0,300000000.0,34812.0,0.0775,0.075,High,Med,High
200000,400000000.0,300000000.0,14311.0,0.0575,0.05,High,Med,High
200000,400000000.0,300000000.0,42027.0,0.09,0.09,High,Med,High
200000,400000000.0,300000000.0,24510.0,0.075,0.075,High,Med,High
200000,400000000.0,300000000.0,19235.0,0.06,0.06,High,Med,High
200000,400000000.0,300000000.0,19990.0,0.055,0.055,High,Med,High
200000,400000000.0,300000000.0,32919.0,0.0925,0.0925,High,Med,High
200000,400000000.0,300000000.0,25665.0,0.0675,0.065,High,Med,High
200000,400000000.0,300000000.0,22805.0,0.06,0.06,High,Med,High
200000,400000000.0,300000000.0,28459.0,0.065,0.0625,High,Med,High
200000,400000000.0,300000000.0,19263.0,0.045,0.045,High,Med,High
200000,400000000.0,300000000.0,38415.0,0.0875,0.085,High,Med,High
200000,400000000.0,300000000.0,16702.0,0.0525,0.0475,High,Med,High
200000,400000000.0,300000000.0,25845.0,0.0725,0.07,High,Med,High
200000,400000000.0,300000000.0,33527.0,0.075,0.075,High,Med,High
200000,400000000.0,300000000.0,25659.0,0.07,0.07,High,Med,High
200000,400000000.0,300000000.0,33490.0,0.075,0.0725,High,Med,High
200000,400000000.0,300000000.0,30800.0,0.0775,0.0775,High,Med,High
200000,400000000.0,300000000.0,44064.0,0.1025,0.1025,High,Med,High
200000,400000000.0,300000000.0,25015.0,0.0575,0.0575,High,Med,High
200000,400000000.0,300000000.0,29742.0,0.07,0.07,High,Med,High
200000,400000000.0,300000000.0,42746.0,0.0875,0.085,High,Med,High
200000,400000000.0,300000000.0,27790.0,0.0775,0.0775,High,Med,High
200000,400000000.0,300000000.0,27821.0,0.075,0.0725,High,Med,High
200000,400000000.0,300000000.0,37588.0,0.085,0.0825,High,Med,High
200000,400000000.0,300000000.0,37184.0,0.0825,0.08,High,Med,High
200000,400000000.0,300000000.0,23996.0,0.0625,0.0625,High,Med,High
200000,400000000.0,300000000.0,25627.0,0.0675,0.0675,High,Med,High
200000,400000000.0,300000000.0,36429.0,0.08,0.08,High,Med,High
200000,400000000.0,300000000.0,22227.0,0.06,0.055,High,Med,High
200000,400000000.0,300000000.0,33574.0,0.09,0.0875,High,Med,High
200000,400000000.0,300000000.0,25958.0,0.0675,0.0625,High,Med,High
200000,400000000.0,300000000.0,25563.0,0.075,0.07,High,Med,High
200000,400000000.0,300000000.0,21731.0,0.0575,0.0575,High,Med,High
200000,400000000.0,300000000.0,28539.0,0.085,0.0825,High,Med,High
200000,400000000.0,300000000.0,22364.0,0.065,0.065,High,Med,High
200000,400000000.0,300000000.0,29291.0,0.0725,0.07,High,Med,High
200000,400000000.0,300000000.0,31805.0,0.0675,0.0675,High,Med,High
200000,400000000.0,300000000.0,25189.0,0.065,0.065,High,Med,High
200000,400000000.0,300000000.0,24156.0,0.0775,0.075,High,Med,High
200000,400000000.0,300000000.0,24217.0,0.0725,0.0725,High,Med,High
200000,400000000.0,300000000.0,24293.0,0.0625,0.0625,High,Med,High
200000,400000000.0,300000000.0,34692.0,0.0825,0.0825,High,Med,High
200000,400000000.0,300000000.0,28647.0,0.0775,0.0775,High,Med,High
200000,400000000.0,300000000.0,29616.0,0.07,0.07,High,Med,High
200000,400000000.0,300000000.0,29006.0,0.07,0.07,High,Med,High
200000,400000000.0,300000000.0,19528.0,0.0475,0.0475,High,Med,High
200000,400000000.0,300000000.0,24645.0,0.0725,0.07,High,Med,High
200000,400000000.0,300000000.0,23407.0,0.0575,0.055,High,Med,High
200000,400000000.0,300000000.0,23667.0,0.055,0.055,High,Med,High
200000,400000000.0,300000000.0,25210.0,0.065,0.065,High,Med,High
200000,400000000.0,300000000.0,28607.0,0.075,0.075,High,Med,High
200000,400000000.0,300000000.0,21469.0,0.055,0.0525,High,Med,High
200000,400000000.0,300000000.0,29728.0,0.08,0.08,High,Med,High
200000,400000000.0,300000000.0,33540.0,0.0775,0.075,High,Med,High
200000,400000000.0,300000000.0,36289.0,0.0925,0.09,High,Med,High
200000,400000000.0,300000000.0,28793.0,0.075,0.075,High,Med,High
200000,400000000.0,300000000.0,24137.0,0.06,0.0575,High,Med,High
200000,400000000.0,300000000.0,25052.0,0.0675,0.0675,High,Med,High
200000,400000000.0,300000000.0,29480.0,0.0575,0.0575,High,Med,High
200000,400000000.0,300000000.0,18794.0,0.065,0.065,High,Med,High
200000,400000000.0,300000000.0,31532.0,0.08,0.0725,High,Med,High
200000,400000000.0,300000000.0,35947.0,0.075,0.075,High,Med,High
200000,400000000.0,300000000.0,38567.0,0.0975,0.0925,High,Med,High
200000,400000000.0,300000000.0,39000.0,0.09,0.09,High,Med,High
200000,400000000.0,300000000.0,19107.0,0.0475,0.0475,High,Med,High
200000,400000000.0,300000000.0,27978.0,0.08,0.08,High,Med,High
200000,400000000.0,300000000.0,31803.0,0.0875,0.0875,High,Med,High
200000,400000000.0,300000000.0,31476.0,0.085,0.08,High,Med,High
200000,400000000.0,300000000.0,33041.0,0.08,0.08,High,Med,High
