price,H_tot,pool_hash,total_hash,pct_active,pct_pool,price_regime,network_hash_regime,txfee_regime
200000,400000000.0,300000000.0,18791.0,0.0475,0.045,High,Med,Low
200000,400000000.0,300000000.0,16358.0,0.05,0.05,High,Med,Low
200000,400000000.0,300000000.0,19120.0,0.0575,0.0575,High,Med,Low
200000,400000000.0,300000000.0,29183.0,0.085,0.0825,High,Med,Low
200000,400000000.0,300000000.0,35710.0,0.0925,0.0925,High,Med,Low
200000,400000000.0,300000000.0,35632.0,0.095,0.09,High,Med,Low
200000,400000000.0,300000000.0,16666.0,0.0475,0.0475,High,Med,Low
200000,400000000.0,300000000.0,34727.0,0.08,0.075,High,Med,Low
200000,400000000.0,300000000.0,29833.0,0.075,0.0725,High,Med,Low
200000,400000000.0,300000000.0,35554.0,0.0975,0.095,High,Med,Low
200000,400000000.0,300000000.0,21536.0,0.05,0.05,High,Med,Low
200000,400000000.0,300000000.0,24470.0,0.075,0.075,High,Med,Low
200000,400000000.0,300000000.0,27121.0,0.075,0.075,High,Med,Low
200000,400000000.0,300000000.0,28915.0,0.0825,0.075,High,Med,Low
200000,400000000.0,300000000.0,28677.0,0.075,0.0725,High,Med,Low
200000,400000000.0,300000000.0,24306.0,0.06,0.06,High,Med,Low
200000,400000000.0,300000000.0,39198.0,0.1025,0.1,High,Med,Low
200000,400000000.0,300000000.0,30560.0,0.08,0.0775,High,Med,Low
200000,400000000.0,300000000.0,22857.0,0.065,0.0625,High,Med,Low
200000,400000000.0,300000000.0,28597.0,0.075,0.075,High,Med,Low
200000,400000000.0,300000000.0,20358.0,0.0675,0.065,High,Med,Low
200000,400000000.0,300000000.0,41414.0,0.0975,0.095,High,Med,Low
200000,400000000.0,300000000.0,31502.0,0.09,0.09,High,Med,Low
200000,400000000.0,300000000.0,21224.0,0.065,0.065,High,Med,Low
200000,400000000.0,300000000.0,29656.0,0.08,0.0775,High,Med,Low
200000,400000000.0,300000000.0,29899.0,0.065,0.065,High,Med,Low
200000,400000000.0,300000000.0,23634.0,0.0675,0.0675,High,Med,Low
200000,400000000.0,300000000.0,25658.0,0.065,0.065,High,Med,Low
200000,400000000.0,300000000.0,30190.0,0.0775,0.0775,High,Med,Low
200000,400000000.0,300000000.0,27467.0,0.0575,0.0575,High,Med,Low
200000,400000000.0,300000000.0,31747.0,0.09,0.0875,High,Med,Low
200000,400000000.0,300000000.0,30689.0,0.08,0.0775,High,Med,Low
200000,400000000.0,300000000.0,36340.0,0.0975,0.0975,High,Med,Low
200000,400000000.0,300000000.0,25938.0,0.0575,0.0575,High,Med,Low
200000,400000000.0,300000000.0,17245.0,0.0525,0.05,High,Med,Low
200000,400000000.0,300000000.0,26521.0,0.0675,0.0675,High,Med,Low
200000,400000000.0,300000000.0,25075.0,0.07,0.0675,High,Med,Low
200000,400000000.0,300000000.0,21220.0,0.0625,0.06,High,Med,Low
200000,400000000.0,300000000.0,17838.0,0.05,0.045,High,Med,Low
200000,400000000.0,300000000.0,24979.0,0.0575,0.0575,High,Med,Low
200000,400000000.0,300000000.0,14920.0,0.0475,0.0475,High,Med,Low
200000,400000000.0,300000000.0,29670.0,0.0675,0.065,High,Med,Low
200000,400000000.0,300000000.0,36790.0,0.0975,0.0925,High,Med,Low
200000,400000000.0,300000000.0,26869.0,0.0675,0.0675,High,Med,Low
200000,400000000.0,300000000.0,21190.0,0.06,0.06,High,Med,Low
200000,400000000.0,300000000.0,24142.0,0.07,0.0675,High,Med,Low
200000,400000000.0,300000000.0,27241.0,0.0775,0.075,High,Med,Low
200000,400000000.0,300000000.0,30466.0,0.075,0.075,High,Med,Low
200000,400000000.0,300000000.0,28312.0,0.085,0.0825,High,Med,Low
200000,400000000.0,300000000.0,36544.0,0.0825,0.08,High,Med,Low
200000,400000000.0,300000000.0,22888.0,0.0725,0.0675,High,Med,Low
200000,400000000.0,300000000.0,25175.0,0.0725,0.0725,High,Med,Low
200000,400000000.0,300000000.0,39289.0,0.09,0.0875,High,Med,Low
200000,400000000.0,300000000.0,29096.0,0.08,0.0775,High,Med,Low
200000,400000000.0,300000000.0,28947.0,0.0825,0.0825,High,Med,Low
200000,400000000.0,300000000.0,41093.0,0.0825,0.0775,High,Med,Low
200000,400000000.0,300000000.0,21646.0,0.06,0.06,High,Med,Low
200000,400000000.0,300000000.0,23342.0,0.0675,0.0625,High,Med,Low
200000,400000000.0,300000000.0,33141.0,0.065,0.065,High,Med,Low
200000,400000000.0,300000000.0,20687.0,0.065,0.06,High,Med,Low
200000,400000000.0,300000000.0,31573.0,0.08,0.08,High,Med,Low
200000,400000000.0,300000000.0,24043.0,0.065,0.065,High,Med,Low
