price,H_tot,pool_hash,total_hash,pct_active,pct_pool,price_regime,network_hash_regime,txfee_regime
60000,200000000.0,300000000.0,4860.0,0.02,0.0175,Low,Low,High
60000,200000000.0,300000000.0,13727.0,0.025,0.0225,Low,Low,High
60000,200000000.0,300000000.0,10370.0,0.02,0.02,Low,Low,High
60000,200000000.0,300000000.0,9430.0,0.025,0.0225,Low,Low,High
60000,200000000.0,300000000.0,5040.0,0.0125,0.0125,Low,Low,High
60000,200000000.0,300000000.0,5241.0,0.025,0.0225,Low,Low,High
60000,200000000.0,300000000.0,11136.0,0.025,0.025,Low,Low,High
60000,200000000.0,300000000.0,11986.0,0.0225,0.0225,Low,Low,High
60000,200000000.0,300000000.0,7277.0,0.02,0.02,Low,Low,High
60000,200000000.0,300000000.0,7530.0,0.015,0.015,Low,Low,High
60000,200000000.0,300000000.0,11525.0,0.0225,0.0225,Low,Low,High
60000,200000000.0,300000000.0,13066.0,0.0325,0.0325,Low,Low,High
60000,200000000.0,300000000.0,8661.0,0.0175,0.0175,Low,Low,High
60000,200000000.0,300000000.0,15381.0,0.0375,0.0375,Low,Low,High
60000,200000000.0,300000000.0,9998.0,0.0225,0.02,Low,Low,High
60000,200000000.0,300000000.0,5287.0,0.0125,0.0125,Low,Low,High
60000,200000000.0,300000000.0,8041.0,0.0225,0.0225,Low,Low,High
60000,200000000.0,300000000.0,9981.0,0.0325,0.0325,Low,Low,High
60000,200000000.0,300000000.0,10678.0,0.025,0.025,Low,Low,High
60000,200000000.0,300000000.0,17527.0,0.0375,0.0375,Low,Low,High
60000,200000000.0,300000000.0,12107.0,0.0275,0.0275,Low,Low,High
60000,200000000.0,300000000.0,9204.0,0.025,0.025,Low,Low,High
60000,200000000.0,300000000.0,4855.0,0.0175,0.0175,Low,Low,High
60000,200000000.0,300000000.0,8385.0,0.025,0.0225,Low,Low,High
60000,200000000.0,300000000.0,7686.0,0.02,0.02,Low,Low,High
60000,200000000.0,300000000.0,6220.0,0.015,0.015,Low,Low,High
60000,200000000.0,300000000.0,14647.0,0.035,0.035,Low,Low,High
60000,200000000.0,300000000.0,13650.0,0.04,0.04,Low,Low,High
