price,H_tot,pool_hash,total_hash,pct_active,pct_pool,price_regime,network_hash_regime,txfee_regime
60000,200000000.0,300000000.0,4900.0,0.01,0.01,Low,Low,Med
60000,200000000.0,300000000.0,9274.0,0.025,0.025,Low,Low,Med
60000,200000000.0,300000000.0,7198.0,0.0225,0.0225,Low,Low,Med
60000,200000000.0,300000000.0,4856.0,0.015,0.015,Low,Low,Med
60000,200000000.0,300000000.0,12888.0,0.03,0.0275,Low,Low,Med
60000,200000000.0,300000000.0,15533.0,0.04,0.035,Low,Low,Med
60000,200000000.0,300000000.0,9807.0,0.0225,0.0225,Low,Low,Med
60000,200000000.0,300000000.0,7654.0,0.0225,0.02,Low,Low,Med
60000,200000000.0,300000000.0,13220.0,0.035,0.035,Low,Low,Med
60000,200000000.0,300000000.0,7873.0,0.02,0.02,Low,Low,Med
60000,200000000.0,300000000.0,8198.0,0.0225,0.0225,Low,Low,Med
60000,200000000.0,300000000.0,9062.0,0.025,0.025,Low,Low,Med
60000,200000000.0,300000000.0,7281.0,0.0275,0.025,Low,Low,Med
60000,200000000.0,300000000.0,17129.0,0.04,0.04,Low,Low,Med
60000,200000000.0,300000000.0,6507.0,0.0125,0.0125,Low,Low,Med
60000,200000000.0,300000000.0,10178.0,0.0275,0.0275,Low,Low,Med
60000,200000000.0,300000000.0,5568.0,0.0175,0.0175,Low,Low,Med
60000,200000000.0,300000000.0,8156.0,0.025,0.025,Low,Low,Med
60000,200000000.0,300000000.0,12898.0,0.0325,0.03,Low,Low,Med
60000,200000000.0,300000000.0,9375.0,0.03,0.03,Low,Low,Med
60000,200000000.0,300000000.0,12937.0,0.0225,0.0225,Low,Low,Med
60000,200000000.0,300000000.0,11208.0,0.0275,0.0275,Low,Low,Med
60000,200000000.0,300000000.0,11557.0,0.0275,0.0275,Low,Low,Med
60000,200000000.0,300000000.0,11234.0,0.03,0.03,Low,Low,Med
60000,200000000.0,300000000.0,11505.0,0.0225,0.0225,Low,Low,Med
60000,200000000.0,300000000.0,9467.0,0.0275,0.0275,Low,Low,Med
60000,200000000.0,300000000.0,11888.0,0.0325,0.0325,Low,Low,Med
60000,200000000.0,300000000.0,6005.0,0.02,0.02,Low,Low,Med
60000,200000000.0,300000000.0,8274.0,0.0225,0.0225,Low,Low,Med
60000,200000000.0,300000000.0,3937.0,0.0125,0.0125,Low,Low,Med
60000,200000000.0,300000000.0,10788.0,0.0325,0.0325,Low,Low,Med
60000,200000000.0,300000000.0,17760.0,0.0375,0.0375,Low,Low,Med
60000,200000000.0,300000000.0,10985.0,0.025,0.025,Low,Low,Med
60000,200000000.0,300000000.0,7835.0,0.02,0.02,Low,Low,Med
60000,200000000.0,300000000.0,3984.0,0.015,0.015,Low,Low,Med
60000,200000000.0,300000000.0,16412.0,0.03,0.03,Low,Low,Med
60000,200000000.0,300000000.0,6031.0,0.0175,0.0175,Low,Low,Med
60000,200000000.0,300000000.0,9003.0,0.0325,0.0325,Low,Low,Med
60000,200000000.0,300000000.0,11887.0,0.0275,0.0275,Low,Low,Med
60000,200000000.0,300000000.0,8262.0,0.025,0.025,Low,Low,Med
60000,200000000.0,300000000.0,17090.0,0.04,0.04,Low,Low,Med
60000,200000000.0,300000000.0,9643.0,0.0225,0.0225,Low,Low,Med
60000,200000000.0,300000000.0,7550.0,0.015,0.015,Low,Low,Med
60000,200000000.0,300000000.0,9771.0,0.0275,0.025,Low,Low,Med
60000,200000000.0,300000000.0,8638.0,0.0175,0.0175,Low,Low,Med
60000,200000000.0,300000000.0,3970.0,0.0125,0.0125,Low,Low,Med
60000,200000000.0,300000000.0,6801.0,0.02,0.02,Low,Low,Med
60000,200000000.0,300000000.0,4528.0,0.01,0.01,Low,Low,Med
60000,200000000.0,300000000.0,11750.0,0.025,0.025,Low,Low,Med
60000,200000000.0,300000000.0,17176.0,0.0325,0.0325,Low,Low,Med
60000,200000000.0,300000000.0,6505.0,0.0125,0.0125,Low,Low,Med
60000,200000000.0,300000000.0,11265.0,0.0325,0.0325,Low,Low,Med
60000,200000000.0,300000000.0,10036.0,0.0275,0.0275,Low,Low,Med
60000,200000000.0,300000000.0,6929.0,0.0175,0.0175,Low,Low,Med
60000,200000000.0,300000000.0,10850.0,0.03,0.0275,Low,Low,Med
60000,200000000.0,300000000.0,6345.0,0.0175,0.0175,Low,Low,Med
60000,200000000.0,300000000.0,8830.0,0.025,0.025,Low,Low,Med
60000,200000000.0,300000000.0,5469.0,0.0125,0.0125,Low,Low,Med
60000,200000000.0,300000000.0,11662.0,0.0325,0.03,Low,Low,Med
60000,200000000.0,300000000.0,14582.0,0.0375,0.035,Low,Low,Med
60000,200000000.0,300000000.0,14638.0,0.0325,0.0325,Low,Low,Med
60000,200000000.0,300000000.0,9973.0,0.0225,0.0225,Low,Low,Med
60000,200000000.0,300000000.0,12364.0,0.0325,0.03,Low,Low,Med
60000,200000000.0,300000000.0,9965.0,0.0175,0.0175,Low,Low,Med
