,Main Strategy,Underlying Strategy,Energy Sector,Total BTC Mined,Final USD Profit,Monthly BTC (avg),Monthly USD Profit (avg),BTC Risk-Adjusted Return,USD Risk-Adjusted Return,Avg Hashrate Usage (%)
Solo Mining (Stop-Loss)_texas,Stop-Loss,Solo Mining,texas,1.869906334295764,77154.7562910507,0.0779127639289901,3214.781512127112,1.725576402280428,2.301117601694505,0.005162292817679558
Solo Mining (Linear-Diminish)_china,Linear-Diminish,Solo Mining,china,1.8937170638228207,76863.29448377287,0.07890487765928411,3202.6372701573223,1.5508305330543286,1.846709685182028,10.004723756906078
Solo Mining (Step-Diminish)_texas,Step-Diminish,Solo Mining,texas,1.9290075480593367,76300.23168001122,0.08037531450247239,3179.1763200005594,1.8159551046617972,2.4032868251517185,10.004816988950278
Solo Mining (Stop-Loss)_denmark,Stop-Loss,Solo Mining,denmark,1.72727944495088,74156.7006144185,0.07196997687295338,3089.8625256007804,1.961532211688941,2.708663083730898,3.9413674033149175
Solo Mining (Stop-Loss)_kazakhstan,Stop-Loss,Solo Mining,kazakhstan,1.8292150302333186,73731.84936996775,0.07621729292638828,3072.160390415321,1.5121383628773353,2.2201634183164947,0.005231353591160222
Solo Mining (Stop-Loss)_china,Stop-Loss,Solo Mining,china,1.693801127186494,70615.08606433871,0.07057504696610391,2942.295252680778,1.5736616692852832,1.9063305759530194,0.00471339779005525
Solo Mining (Linear-Diminish)_denmark,Linear-Diminish,Solo Mining,denmark,1.8071166943804997,69946.04339718929,0.07529652893252083,2914.418474882923,1.6592604733750447,2.385161953043086,13.935775207182324
Solo Mining (Step-Diminish)_denmark,Step-Diminish,Solo Mining,denmark,1.70413676681418,69498.67369256205,0.07100569861725754,2895.7780705234495,2.1062829380228174,2.5400697726810955,13.935635359116025
Solo Mining (Step-Diminish)_kazakhstan,Step-Diminish,Solo Mining,kazakhstan,1.7849919760552813,68386.60112723833,0.07437466566897007,2849.441713634887,1.4536628745297366,1.8396703816118445,10.004412983425414
Solo Mining (Linear-Diminish)_kazakhstan,Linear-Diminish,Solo Mining,kazakhstan,1.7254024665484755,68349.14764875207,0.07189176943951979,2847.8811520313197,1.7557811573003284,3.140210540058611,10.004521754143648
Solo Mining (Linear-Diminish)_texas,Linear-Diminish,Solo Mining,texas,1.7868608584309058,66799.92338078513,0.07445253576795442,2783.3301408661337,1.5231169473962836,1.9917318953267222,10.004428522099449
Solo Mining (Step-Diminish)_china,Step-Diminish,Solo Mining,china,1.6766863942373762,63851.995437026846,0.06986193309322396,2660.4998098761957,1.5162646861204718,2.626198923883487,10.00424205801105
Solo Mining (Always-On)_china,Always-On,Solo Mining,china,1.897607723474331,57477.2133009633,0.07906698847809714,2394.8838875400365,1.665079503994182,1.5138250721628117,100.0
Ocean (TIDES) (Step-Diminish)_kazakhstan,Step-Diminish,Ocean (TIDES),kazakhstan,1.8555087525501066,56286.46458998858,0.07731286468958619,2345.269357916152,1.9431539494202703,2.4798950605685954,100.0
Ocean (TIDES) (Linear-Diminish)_kazakhstan,Linear-Diminish,Ocean (TIDES),kazakhstan,1.8555087525501066,56286.46458998858,0.07731286468958619,2345.269357916152,1.9431539494202703,2.4798950605685954,100.0
Ocean (TIDES) (Stop-Loss)_kazakhstan,Stop-Loss,Ocean (TIDES),kazakhstan,1.8555087525501066,56286.46458998858,0.07731286468958619,2345.269357916152,1.9431539494202703,2.4798950605685954,100.0
Ocean (TIDES) (Always-On)_kazakhstan,Always-On,Ocean (TIDES),kazakhstan,1.84906692210489,56133.559708724024,0.07704445508770487,2338.898321196864,1.9465357074866183,2.4649873372982514,100.0
Solo Mining (Always-On)_kazakhstan,Always-On,Solo Mining,kazakhstan,1.8527470215543196,54190.48054390788,0.07719779256476328,2257.936689329376,1.6046251897641424,1.7530942507656546,100.0
Ocean (TIDES) (Step-Diminish)_china,Step-Diminish,Ocean (TIDES),china,1.8555087525501066,54138.052989988944,0.07731286468958619,2255.7522079161513,1.9431539494202703,2.50415752702439,100.0
Ocean (TIDES) (Linear-Diminish)_china,Linear-Diminish,Ocean (TIDES),china,1.8555087525501066,54138.052989988944,0.07731286468958619,2255.7522079161513,1.9431539494202703,2.50415752702439,100.0
Ocean (TIDES) (Stop-Loss)_china,Stop-Loss,Ocean (TIDES),china,1.8555087525501066,54138.052989988944,0.07731286468958619,2255.7522079161513,1.9431539494202703,2.50415752702439,100.0
Spiderpool (PPLNS) (Linear-Diminish)_kazakhstan,Linear-Diminish,Spiderpool (PPLNS),kazakhstan,1.7998434899735192,54022.65830528747,0.07499347874889865,2250.944096053667,1.943153949420269,2.4551685181373437,100.0
Antpool (PPLNS) (Step-Diminish)_kazakhstan,Step-Diminish,Antpool (PPLNS),kazakhstan,1.7998434899735192,54022.65830528747,0.07499347874889865,2250.944096053667,1.943153949420269,2.4551685181373437,100.0
Spiderpool (PPLNS) (Stop-Loss)_kazakhstan,Stop-Loss,Spiderpool (PPLNS),kazakhstan,1.7998434899735192,54022.65830528747,0.07499347874889865,2250.944096053667,1.943153949420269,2.4551685181373437,100.0
Antpool (PPLNS) (Linear-Diminish)_kazakhstan,Linear-Diminish,Antpool (PPLNS),kazakhstan,1.7998434899735192,54022.65830528747,0.07499347874889865,2250.944096053667,1.943153949420269,2.4551685181373437,100.0
SECPOOL (PPLNS) (Stop-Loss)_kazakhstan,Stop-Loss,SECPOOL (PPLNS),kazakhstan,1.7998434899735192,54022.65830528747,0.07499347874889865,2250.944096053667,1.943153949420269,2.4551685181373437,100.0
Spiderpool (PPLNS) (Step-Diminish)_kazakhstan,Step-Diminish,Spiderpool (PPLNS),kazakhstan,1.7998434899735192,54022.65830528747,0.07499347874889865,2250.944096053667,1.943153949420269,2.4551685181373437,100.0
SECPOOL (PPLNS) (Step-Diminish)_kazakhstan,Step-Diminish,SECPOOL (PPLNS),kazakhstan,1.7998434899735192,54022.65830528747,0.07499347874889865,2250.944096053667,1.943153949420269,2.4551685181373437,100.0
Antpool (PPLNS) (Stop-Loss)_kazakhstan,Stop-Loss,Antpool (PPLNS),kazakhstan,1.7998434899735192,54022.65830528747,0.07499347874889865,2250.944096053667,1.943153949420269,2.4551685181373437,100.0
SECPOOL (PPLNS) (Linear-Diminish)_kazakhstan,Linear-Diminish,SECPOOL (PPLNS),kazakhstan,1.7998434899735192,54022.65830528747,0.07499347874889865,2250.944096053667,1.943153949420269,2.4551685181373437,100.0
Ocean (TIDES) (Always-On)_china,Always-On,Ocean (TIDES),china,1.84906692210489,53985.14810872595,0.07704445508770487,2249.3811711968633,1.9465357074866183,2.4858157688425653,100.0
Spiderpool (PPLNS) (Always-On)_kazakhstan,Always-On,Spiderpool (PPLNS),kazakhstan,1.7935949144417203,53874.34057046415,0.07473312143507374,2244.7641904359575,1.9465357074866176,2.440383337331089,100.0
SECPOOL (PPLNS) (Always-On)_kazakhstan,Always-On,SECPOOL (PPLNS),kazakhstan,1.7935949144417203,53874.34057046415,0.07473312143507374,2244.7641904359575,1.9465357074866176,2.440383337331089,100.0
Antpool (PPLNS) (Always-On)_kazakhstan,Always-On,Antpool (PPLNS),kazakhstan,1.7935949144417203,53874.34057046415,0.07473312143507374,2244.7641904359575,1.9465357074866176,2.440383337331089,100.0
