,Main Strategy,Underlying Strategy,Energy Sector,Total BTC Mined,Final USD Profit,Monthly BTC (avg),Monthly USD Profit (avg),BTC Risk-Adjusted Return,USD Risk-Adjusted Return,Avg Hashrate Usage (%)
Solo Mining (Linear-Diminish)_texas,Linear-Diminish,Solo Mining,texas,0.9072822758682937,36820.782289277966,0.03780342816117891,1534.1992620533808,1.4012734678268017,1.4680596189325719,10.00222203038674
Solo Mining (Stop-Loss)_kazakhstan,Stop-Loss,Solo Mining,kazakhstan,0.8166894370225375,33289.57174337726,0.034028726542605726,1387.065489307386,1.481807471889756,1.6160939768383935,0.0021926795580110496
Solo Mining (Linear-Diminish)_kazakhstan,Linear-Diminish,Solo Mining,kazakhstan,0.7861756339910001,29956.2291652842,0.032757318082958335,1248.1762152202407,1.3847414032924301,1.9225951580710365,10.00202002762431
Solo Mining (Stop-Loss)_texas,Stop-Loss,Solo Mining,texas,0.7334417148595249,29339.49802376176,0.030560071452480214,1222.4790843234066,1.3174970264686037,1.4923230883734055,0.001985497237569061
Solo Mining (Stop-Loss)_denmark,Stop-Loss,Solo Mining,denmark,0.6912021010570752,28939.732214250063,0.028800087544044794,1205.8221755937427,1.4122231378435437,1.7714066377372595,3.938432320441989
Solo Mining (Linear-Diminish)_china,Linear-Diminish,Solo Mining,china,0.6978031643183438,27514.139224803614,0.029075131846597657,1146.4224677002178,1.422785130086498,1.6859545886897769,10.001849102209945
Solo Mining (Step-Diminish)_denmark,Step-Diminish,Solo Mining,denmark,0.6833421071364565,27461.568799376168,0.028472587797352344,1144.2320333073365,1.5951030122685794,2.0459069575189353,13.933055939226518
Solo Mining (Linear-Diminish)_denmark,Linear-Diminish,Solo Mining,denmark,0.7270674110377375,27034.36130682069,0.030294475459905726,1126.431721117525,1.3901403463378665,1.885030742872828,13.933133632596686
Solo Mining (Step-Diminish)_china,Step-Diminish,Solo Mining,china,0.7287664708908439,26908.656766386106,0.030365269620451826,1121.194031932836,1.2135542709593576,1.4493404056536427,10.00177140883978
Solo Mining (Stop-Loss)_china,Stop-Loss,Solo Mining,china,0.6503108373913249,26124.618164758554,0.02709628489130521,1088.5257568649397,1.272070031646002,1.5383214663369087,0.0018473756906077347
Solo Mining (Step-Diminish)_texas,Step-Diminish,Solo Mining,texas,0.6516248337318501,22991.66794025681,0.027151034738827084,957.9861641774577,1.2688637536297411,1.8170929593982408,10.001616022099448
"Hybrid (30% Solo, 70% Foundry USA) (Linear-Diminish)_kazakhstan",Linear-Diminish,"Hybrid (30% Solo, 70% Foundry USA)",kazakhstan,0.7782444698997957,22785.14852246465,0.03242685291249178,949.3811884360392,1.650203763772745,1.9361389127837678,100.0
Solo Mining (Step-Diminish)_kazakhstan,Step-Diminish,Solo Mining,kazakhstan,0.5893523720355813,22726.579373196313,0.024556348834815885,946.9408072165703,1.257082683310787,1.6840959723369848,10.00152279005525
Solo Mining (Always-On)_china,Always-On,Solo Mining,china,0.7550466315222439,22650.816962241057,0.03146027631342682,943.7840400933441,1.366985644764175,1.2443160406459082,100.0
Ocean (TIDES) (Linear-Diminish)_kazakhstan,Linear-Diminish,Ocean (TIDES),kazakhstan,0.7422035010200347,22514.585835994676,0.03092514587583448,938.1077431664608,1.943153949420269,2.4798950605685937,100.0
Ocean (TIDES) (Stop-Loss)_kazakhstan,Stop-Loss,Ocean (TIDES),kazakhstan,0.7422035010200347,22514.585835994676,0.03092514587583448,938.1077431664608,1.943153949420269,2.4798950605685937,100.0
Ocean (TIDES) (Step-Diminish)_kazakhstan,Step-Diminish,Ocean (TIDES),kazakhstan,0.7422035010200347,22514.585835994676,0.03092514587583448,938.1077431664608,1.943153949420269,2.4798950605685937,100.0
Ocean (TIDES) (Always-On)_kazakhstan,Always-On,Ocean (TIDES),kazakhstan,0.7396267688419591,22453.423883490195,0.030817782035081943,935.5593284787456,1.9465357074866174,2.46498733729825,100.0
"Hybrid (30% Solo, 70% Foundry USA) (Linear-Diminish)_china",Linear-Diminish,"Hybrid (30% Solo, 70% Foundry USA)",china,0.7362300544505455,22311.85422346301,0.03067625226877301,929.6605926443017,1.8890381088917465,1.4861077052669223,100.0
"Hybrid (30% Solo, 70% Foundry USA) (Step-Diminish)_kazakhstan",Step-Diminish,"Hybrid (30% Solo, 70% Foundry USA)",kazakhstan,0.7376837638098585,22249.91187862715,0.03073682349207768,927.0796616094749,1.5692107672836972,1.5254718597047419,100.0
Solo Mining (Always-On)_texas,Always-On,Solo Mining,texas,0.8135054794257064,22247.5744231834,0.03389606164273776,926.9822676325912,1.390147006460918,0.8798276681758125,100.0
"Hybrid (30% Solo, 70% ViaBTC) (Linear-Diminish)_kazakhstan",Linear-Diminish,"Hybrid (30% Solo, 70% ViaBTC)",kazakhstan,0.7299739179482468,22077.588860124262,0.0304155799145106,919.899535838506,1.8103796729720536,2.4076888834775216,100.0
"Hybrid (30% Solo, 70% Foundry USA) (Always-On)_kazakhstan",Always-On,"Hybrid (30% Solo, 70% Foundry USA)",kazakhstan,0.7420980700348887,21991.522686265842,0.030920752918120627,916.313445261083,1.5116217001248602,1.4584715336068483,100.0
Ocean (TIDES) (Stop-Loss)_china,Stop-Loss,Ocean (TIDES),china,0.7422035010200347,21655.22119599547,0.03092514587583448,902.3008831664605,1.943153949420269,2.504157527024393,100.0
Ocean (TIDES) (Linear-Diminish)_china,Linear-Diminish,Ocean (TIDES),china,0.7422035010200347,21655.22119599547,0.03092514587583448,902.3008831664605,1.943153949420269,2.504157527024393,100.0
Ocean (TIDES) (Step-Diminish)_china,Step-Diminish,Ocean (TIDES),china,0.7422035010200347,21655.22119599547,0.03092514587583448,902.3008831664605,1.943153949420269,2.504157527024393,100.0
Antpool (PPLNS) (Stop-Loss)_kazakhstan,Stop-Loss,Antpool (PPLNS),kazakhstan,0.7199373959894146,21609.063322115413,0.02999739149955945,900.3776384214667,1.9431539494202694,2.4551685181373433,100.0
Antpool (PPLNS) (Linear-Diminish)_kazakhstan,Linear-Diminish,Antpool (PPLNS),kazakhstan,0.7199373959894146,21609.063322115413,0.02999739149955945,900.3776384214667,1.9431539494202694,2.4551685181373433,100.0
Antpool (PPLNS) (Step-Diminish)_kazakhstan,Step-Diminish,Antpool (PPLNS),kazakhstan,0.7199373959894146,21609.063322115413,0.02999739149955945,900.3776384214667,1.9431539494202694,2.4551685181373433,100.0
Ocean (TIDES) (Always-On)_china,Always-On,Ocean (TIDES),china,0.7396267688419591,21594.059243489417,0.030817782035081943,899.7524684787453,1.9465357074866174,2.485815768842568,100.0
Antpool (PPLNS) (Always-On)_kazakhstan,Always-On,Antpool (PPLNS),kazakhstan,0.7174379657767201,21549.736228185273,0.02989324857402949,897.9056761743832,1.9465357074866174,2.4403833373310895,100.0
"Hybrid (30% Solo, 70% ViaBTC) (Step-Diminish)_kazakhstan",Step-Diminish,"Hybrid (30% Solo, 70% ViaBTC)",kazakhstan,0.7059555715946024,21110.20647906749,0.029414815483108713,879.5919366278113,1.748840538869168,1.7103544998067925,100.0
"Hybrid (30% Solo, 70% ViaBTC) (Always-On)_kazakhstan",Always-On,"Hybrid (30% Solo, 70% ViaBTC)",kazakhstan,0.7006676808457066,20890.641409262444,0.029194486701904516,870.4433920525918,1.7454522860695318,1.842872274949825,100.0
"Hybrid (30% Solo, 70% ViaBTC) (Stop-Loss)_kazakhstan",Stop-Loss,"Hybrid (30% Solo, 70% ViaBTC)",kazakhstan,0.7126748583818912,20838.7770310678,0.029694785765912394,868.2823762944894,1.7482886854256168,2.2291895003767688,100.0
Solo Mining (Always-On)_denmark,Always-On,Solo Mining,denmark,0.89327950481835,20816.16658979975,0.03721997936743125,867.3402745750017,1.354338853482488,0.8988404250679078,100.0
Antpool (PPLNS) (Stop-Loss)_china,Stop-Loss,Antpool (PPLNS),china,0.7199373959894146,20749.698682114788,0.02999739149955945,864.5707784214668,1.9431539494202694,2.4771050550632014,100.0
Antpool (PPLNS) (Linear-Diminish)_china,Linear-Diminish,Antpool (PPLNS),china,0.7199373959894146,20749.698682114788,0.02999739149955945,864.5707784214668,1.9431539494202694,2.4771050550632014,100.0
Antpool (PPLNS) (Step-Diminish)_china,Step-Diminish,Antpool (PPLNS),china,0.7199373959894146,20749.698682114788,0.02999739149955945,864.5707784214668,1.9431539494202694,2.4771050550632014,100.0
"Hybrid (30% Solo, 70% ViaBTC) (Step-Diminish)_texas",Step-Diminish,"Hybrid (30% Solo, 70% ViaBTC)",texas,0.7579725569285989,20722.325665020784,0.031582189872024796,863.4302360425277,1.8729432050883625,1.6514839569927957,93.40645372928176
Antpool (PPLNS) (Always-On)_china,Always-On,Antpool (PPLNS),china,0.7174379657767201,20690.37158818536,0.02989324857402949,862.0988161743832,1.9465357074866174,2.4588376253491417,100.0
"Hybrid (30% Solo, 70% Foundry USA) (Step-Diminish)_texas",Step-Diminish,"Hybrid (30% Solo, 70% Foundry USA)",texas,0.7527010404162291,20203.741356265287,0.03136254335067584,841.822556511053,1.5269500167561494,1.0679267698046084,93.44616540055249
"Hybrid (30% Solo, 70% Foundry USA) (Step-Diminish)_china",Step-Diminish,"Hybrid (30% Solo, 70% Foundry USA)",china,0.7219483414406328,19993.827505995763,0.030081180893359965,833.0761460831678,1.7458587111090875,1.9731573297780856,100.0
"Hybrid (30% Solo, 70% ViaBTC) (Stop-Loss)_china",Stop-Loss,"Hybrid (30% Solo, 70% ViaBTC)",china,0.6989745322501788,19691.969573156483,0.02912393884375772,820.4987322148563,1.7390532385007753,1.9093670759764685,100.0
"Hybrid (30% Solo, 70% ViaBTC) (Always-On)_china",Always-On,"Hybrid (30% Solo, 70% ViaBTC)",china,0.7009841213186627,19586.273866392414,0.02920767172161109,816.0947444330317,1.6932200418984003,2.0237463903754063,100.0
