,Main Strategy,Underlying Strategy,Energy Sector,Total BTC Mined,Final USD Profit,Monthly BTC (avg),Monthly USD Profit (avg),BTC Risk-Adjusted Return,USD Risk-Adjusted Return,Avg Hashrate Usage (%)
Ocean (TIDES) (Step-Diminish)_kazakhstan,Step-Diminish,Ocean (TIDES),kazakhstan,0.24740116700667308,7504.861945331818,0.010308381958611494,312.7025810554868,1.94315394942027,2.4798950605685954,100.0
Ocean (TIDES) (Stop-Loss)_kazakhstan,Stop-Loss,Ocean (TIDES),kazakhstan,0.24740116700667308,7504.861945331818,0.010308381958611494,312.7025810554868,1.94315394942027,2.4798950605685954,100.0
Ocean (TIDES) (Linear-Diminish)_kazakhstan,Linear-Diminish,Ocean (TIDES),kazakhstan,0.24740116700667308,7504.861945331818,0.010308381958611494,312.7025810554868,1.94315394942027,2.4798950605685954,100.0
Ocean (TIDES) (Always-On)_kazakhstan,Always-On,Ocean (TIDES),kazakhstan,0.24654225628066054,7484.474627830072,0.010272594011693982,311.85310949291505,1.946535707486618,2.464987337298252,100.0
Ocean (TIDES) (Step-Diminish)_china,Step-Diminish,Ocean (TIDES),china,0.24740116700667308,7218.407065331732,0.010308381958611494,300.7669610554868,1.94315394942027,2.5041575270243928,100.0
Ocean (TIDES) (Stop-Loss)_china,Stop-Loss,Ocean (TIDES),china,0.24740116700667308,7218.407065331732,0.010308381958611494,300.7669610554868,1.94315394942027,2.5041575270243928,100.0
Ocean (TIDES) (Linear-Diminish)_china,Linear-Diminish,Ocean (TIDES),china,0.24740116700667308,7218.407065331732,0.010308381958611494,300.7669610554868,1.94315394942027,2.5041575270243928,100.0
Antpool (PPLNS) (Linear-Diminish)_kazakhstan,Linear-Diminish,Antpool (PPLNS),kazakhstan,0.2399791319964773,7203.021107371845,0.009999130499853149,300.1258794738223,1.9431539494202699,2.455168518137341,100.0
SECPOOL (PPLNS) (Stop-Loss)_kazakhstan,Stop-Loss,SECPOOL (PPLNS),kazakhstan,0.2399791319964773,7203.021107371845,0.009999130499853149,300.1258794738223,1.9431539494202699,2.455168518137341,100.0
SECPOOL (PPLNS) (Linear-Diminish)_kazakhstan,Linear-Diminish,SECPOOL (PPLNS),kazakhstan,0.2399791319964773,7203.021107371845,0.009999130499853149,300.1258794738223,1.9431539494202699,2.455168518137341,100.0
Antpool (PPLNS) (Stop-Loss)_kazakhstan,Stop-Loss,Antpool (PPLNS),kazakhstan,0.2399791319964773,7203.021107371845,0.009999130499853149,300.1258794738223,1.9431539494202699,2.455168518137341,100.0
SECPOOL (PPLNS) (Step-Diminish)_kazakhstan,Step-Diminish,SECPOOL (PPLNS),kazakhstan,0.2399791319964773,7203.021107371845,0.009999130499853149,300.1258794738223,1.9431539494202699,2.455168518137341,100.0
Antpool (PPLNS) (Step-Diminish)_kazakhstan,Step-Diminish,Antpool (PPLNS),kazakhstan,0.2399791319964773,7203.021107371845,0.009999130499853149,300.1258794738223,1.9431539494202699,2.455168518137341,100.0
Spiderpool (PPLNS) (Step-Diminish)_kazakhstan,Step-Diminish,Spiderpool (PPLNS),kazakhstan,0.2399791319964773,7203.021107371845,0.009999130499853149,300.1258794738223,1.9431539494202699,2.455168518137341,100.0
Spiderpool (PPLNS) (Stop-Loss)_kazakhstan,Stop-Loss,Spiderpool (PPLNS),kazakhstan,0.2399791319964773,7203.021107371845,0.009999130499853149,300.1258794738223,1.9431539494202699,2.455168518137341,100.0
Spiderpool (PPLNS) (Linear-Diminish)_kazakhstan,Linear-Diminish,Spiderpool (PPLNS),kazakhstan,0.2399791319964773,7203.021107371845,0.009999130499853149,300.1258794738223,1.9431539494202699,2.455168518137341,100.0
Ocean (TIDES) (Always-On)_china,Always-On,Ocean (TIDES),china,0.24654225628066054,7198.019747829992,0.010272594011693982,299.917489492915,1.946535707486618,2.485815768842567,100.0
Spiderpool (PPLNS) (Always-On)_kazakhstan,Always-On,Spiderpool (PPLNS),kazakhstan,0.23914598859223973,7183.245409395275,0.009964416191343162,299.30189205812763,1.9465357074866183,2.440383337331087,100.0
Antpool (PPLNS) (Always-On)_kazakhstan,Always-On,Antpool (PPLNS),kazakhstan,0.23914598859223973,7183.245409395275,0.009964416191343162,299.30189205812763,1.9465357074866183,2.440383337331087,100.0
SECPOOL (PPLNS) (Always-On)_kazakhstan,Always-On,SECPOOL (PPLNS),kazakhstan,0.23914598859223973,7183.245409395275,0.009964416191343162,299.30189205812763,1.9465357074866183,2.440383337331087,100.0
SBI Crypto (PPLNS) (Step-Diminish)_kazakhstan,Step-Diminish,SBI Crypto (PPLNS),kazakhstan,0.2387792363364899,7154.223505235008,0.00994913484735388,298.09264605145313,1.94315394942027,2.4510227108131155,100.0
SBI Crypto (PPLNS) (Stop-Loss)_kazakhstan,Stop-Loss,SBI Crypto (PPLNS),kazakhstan,0.2387792363364899,7154.223505235008,0.00994913484735388,298.09264605145313,1.94315394942027,2.4510227108131155,100.0
SBI Crypto (PPLNS) (Linear-Diminish)_kazakhstan,Linear-Diminish,SBI Crypto (PPLNS),kazakhstan,0.2387792363364899,7154.223505235008,0.00994913484735388,298.09264605145313,1.94315394942027,2.4510227108131155,100.0
SBI Crypto (PPLNS) (Always-On)_kazakhstan,Always-On,SBI Crypto (PPLNS),kazakhstan,0.2379502586492772,7134.546685748011,0.009914594110386442,297.272778572837,1.9465357074866185,2.436258003116978,100.0
SECPOOL (PPLNS) (Step-Diminish)_china,Step-Diminish,SECPOOL (PPLNS),china,0.2399791319964773,6916.566227371791,0.009999130499853149,288.19025947382227,1.9431539494202699,2.4771050550632014,100.0
Spiderpool (PPLNS) (Stop-Loss)_china,Stop-Loss,Spiderpool (PPLNS),china,0.2399791319964773,6916.566227371791,0.009999130499853149,288.19025947382227,1.9431539494202699,2.4771050550632014,100.0
SECPOOL (PPLNS) (Linear-Diminish)_china,Linear-Diminish,SECPOOL (PPLNS),china,0.2399791319964773,6916.566227371791,0.009999130499853149,288.19025947382227,1.9431539494202699,2.4771050550632014,100.0
SECPOOL (PPLNS) (Stop-Loss)_china,Stop-Loss,SECPOOL (PPLNS),china,0.2399791319964773,6916.566227371791,0.009999130499853149,288.19025947382227,1.9431539494202699,2.4771050550632014,100.0
Spiderpool (PPLNS) (Linear-Diminish)_china,Linear-Diminish,Spiderpool (PPLNS),china,0.2399791319964773,6916.566227371791,0.009999130499853149,288.19025947382227,1.9431539494202699,2.4771050550632014,100.0
Spiderpool (PPLNS) (Step-Diminish)_china,Step-Diminish,Spiderpool (PPLNS),china,0.2399791319964773,6916.566227371791,0.009999130499853149,288.19025947382227,1.9431539494202699,2.4771050550632014,100.0
Antpool (PPLNS) (Step-Diminish)_china,Step-Diminish,Antpool (PPLNS),china,0.2399791319964773,6916.566227371791,0.009999130499853149,288.19025947382227,1.9431539494202699,2.4771050550632014,100.0
Antpool (PPLNS) (Stop-Loss)_china,Stop-Loss,Antpool (PPLNS),china,0.2399791319964773,6916.566227371791,0.009999130499853149,288.19025947382227,1.9431539494202699,2.4771050550632014,100.0
Antpool (PPLNS) (Linear-Diminish)_china,Linear-Diminish,Antpool (PPLNS),china,0.2399791319964773,6916.566227371791,0.009999130499853149,288.19025947382227,1.9431539494202699,2.4771050550632014,100.0
Spiderpool (PPLNS) (Always-On)_china,Always-On,Spiderpool (PPLNS),china,0.23914598859223973,6896.790529395184,0.009964416191343162,287.3662720581277,1.9465357074866183,2.4588376253491413,100.0
Antpool (PPLNS) (Always-On)_china,Always-On,Antpool (PPLNS),china,0.23914598859223973,6896.790529395184,0.009964416191343162,287.3662720581277,1.9465357074866183,2.4588376253491413,100.0
SECPOOL (PPLNS) (Always-On)_china,Always-On,SECPOOL (PPLNS),china,0.23914598859223973,6896.790529395184,0.009964416191343162,287.3662720581277,1.9465357074866183,2.4588376253491413,100.0
SBI Crypto (PPLNS) (Step-Diminish)_china,Step-Diminish,SBI Crypto (PPLNS),china,0.2387792363364899,6867.768625234958,0.00994913484735388,286.1570260514532,1.94315394942027,2.4725533764224816,100.0
SBI Crypto (PPLNS) (Stop-Loss)_china,Stop-Loss,SBI Crypto (PPLNS),china,0.2387792363364899,6867.768625234958,0.00994913484735388,286.1570260514532,1.94315394942027,2.4725533764224816,100.0
SBI Crypto (PPLNS) (Linear-Diminish)_china,Linear-Diminish,SBI Crypto (PPLNS),china,0.2387792363364899,6867.768625234958,0.00994913484735388,286.1570260514532,1.94315394942027,2.4725533764224816,100.0
SBI Crypto (PPLNS) (Always-On)_china,Always-On,SBI Crypto (PPLNS),china,0.2379502586492772,6848.0918057479785,0.009914594110386442,285.33715857283715,1.9465357074866185,2.454298703731123,100.0
Ocean (TIDES) (Stop-Loss)_texas,Stop-Loss,Ocean (TIDES),texas,0.24328052312912227,6127.877599870848,0.010136688463713135,255.32823332795547,1.8447841553520772,1.747009176793553,96.20165745856353
Ocean (TIDES) (Step-Diminish)_texas,Step-Diminish,Ocean (TIDES),texas,0.24631397242152378,6105.383277659608,0.010263082184230218,254.3909699024871,1.9171186269455982,1.7235181123255008,98.98135359116023
Ocean (TIDES) (Linear-Diminish)_texas,Linear-Diminish,Ocean (TIDES),texas,0.24681128661065818,6101.989529475565,0.010283803608777236,254.24956372814668,1.9282386972585799,1.7199631662650374,99.42749627291975
Ocean (TIDES) (Always-On)_texas,Always-On,Ocean (TIDES),texas,0.24654225628066054,6072.38866783001,0.010272594011693982,253.01619449291502,1.946535707486618,1.7028205171916242,100.0
SECPOOL (PPLNS) (Stop-Loss)_texas,Stop-Loss,SECPOOL (PPLNS),texas,0.23527583211338912,5833.671466251171,0.009803159671391318,243.06964442713328,1.8303841864120654,1.7121445502635126,95.61464088397791
Antpool (PPLNS) (Stop-Loss)_texas,Stop-Loss,Antpool (PPLNS),texas,0.23527583211338912,5833.671466251171,0.009803159671391318,243.06964442713328,1.8303841864120654,1.7121445502635126,95.61464088397791
Spiderpool (PPLNS) (Stop-Loss)_texas,Stop-Loss,Spiderpool (PPLNS),texas,0.23527583211338912,5833.671466251171,0.009803159671391318,243.06964442713328,1.8303841864120654,1.7121445502635126,95.61464088397791
Spiderpool (PPLNS) (Step-Diminish)_texas,Step-Diminish,Spiderpool (PPLNS),texas,0.2386494962983136,5807.569285028934,0.0099437290124298,241.98205354287543,1.910786427624287,1.6846984984818012,98.7292817679558
